7/23/2015,3:18:14,7/23/2015 3:18:14,37.179,-97.543,2.7,km,1.9,
7/23/2015,9:57:48,7/23/2015 9:57:48,37.179,-97.543,2.6,km,1.8,
7/23/2015,10:45:06,7/23/2015 10:45:06,37.243,-97.613,4.6,km,1.9,
7/23/2015,21:25:31,7/23/2015 21:25:31,37.245,-97.614,4.6,km,1.5,
7/23/2015,21:51:41,7/23/2015 21:51:41,37.25,-97.609,4.6,km,1.7,
7/2/2015,5:28:13,7/2/2015 5:28:13,37.308,-97.472,3.6,km,0.6,
7/2/2015,12:27:55,7/2/2015 12:27:55,37.292,-97.612,4.9,km,1.8,
7/2/2015,20:46:01,7/2/2015 20:46:01,37.288,-97.617,5.7,km,1.4,
7/3/2015,3:42:44,7/3/2015 3:42:44,37.29,-97.615,5.1,km,1.3,
7/3/2015,23:41:21,7/3/2015 23:41:21,37.296,-97.621,3.5,km,1.6,
7/3/2015,23:52:43,7/3/2015 23:52:43,37.271,-97.646,15,km,1.4,
7/4/2015,21:12:47,7/4/2015 21:12:47,37.429,-97.464,4.2,km,1,
7/4/2015,22:06:06,7/4/2015 22:06:06,37.243,-97.614,5,km,1.7,
7/5/2015,13:28:07,7/5/2015 13:28:07,37.31,-97.466,3.7,km,1.4,
7/5/2015,13:30:16,7/5/2015 13:30:16,37.306,-97.469,3.7,km,0.6,
7/5/2015,13:54:13,7/5/2015 13:54:13,37.251,-97.608,3.8,km,2.4,
7/5/2015,15:04:13,7/5/2015 15:04:13,37.312,-97.466,3.6,km,0.7,
7/5/2015,15:09:50,7/5/2015 15:09:50,37.315,-97.482,3.1,km,0.5,
7/5/2015,22:38:55,7/5/2015 22:38:55,37.317,-97.507,1.9,km,1,
7/6/2015,5:43:59,7/6/2015 5:43:59,37.424,-97.461,6.7,km,1.4,
7/6/2015,13:02:26,7/6/2015 13:02:26,37.432,-97.462,4.5,km,1.3,
7/7/2015,6:30:47,7/7/2015 6:30:47,37.43,-97.465,4.7,km,1.3,
7/7/2015,17:07:09,7/7/2015 17:07:09,37.221,-97.613,5.8,km,1.4,
7/8/2015,0:08:23,7/8/2015 0:08:23,37.277,-97.575,5,km,1.2,
7/8/2015,5:42:50,7/8/2015 5:42:50,37.328,-97.494,0.7,km,0.6,
7/8/2015,8:23:49,7/8/2015 8:23:49,37.326,-97.482,3.6,km,0.8,
7/8/2015,17:16:32,7/8/2015 17:16:32,37.332,-97.489,1.9,km,1,
7/8/2015,21:08:45,7/8/2015 21:08:45,37.32,-97.475,4.2,km,1.8,
7/8/2015,21:13:07,7/8/2015 21:13:07,37.323,-97.484,2.9,km,0.7,
7/8/2015,21:26:30,7/8/2015 21:26:30,37.325,-97.482,3.6,km,1.4,
7/8/2015,22:31:13,7/8/2015 22:31:13,37.328,-97.485,3.1,km,0.7,
7/8/2015,22:55:51,7/8/2015 22:55:51,37.324,-97.479,3.6,km,1.1,
7/8/2015,23:22:55,7/8/2015 23:22:55,37.322,-97.487,3.5,km,0.7,
7/9/2015,1:41:40,7/9/2015 1:41:40,37.325,-97.482,3.5,km,0.9,
7/9/2015,2:03:12,7/9/2015 2:03:12,37.312,-97.458,3.4,km,0.5,
7/9/2015,2:50:58,7/9/2015 2:50:58,37.285,-97.608,4,km,1,
7/23/2015,22:16:40,7/23/2015 22:16:40,37.397,-97.715,1.1,km,1.8,
7/27/2015,4:29:49,7/27/2015 4:29:49,37.329,-97.491,2.4,km,1.2,
7/27/2015,11:40:46,7/27/2015 11:40:46,37.251,-97.607,3.9,km,2.7,
7/29/2015,6:33:21,7/29/2015 6:33:21,37.319,-97.491,3,km,1.2,
7/29/2015,8:08:27,7/29/2015 8:08:27,37.117,-97.478,6.3,km,1.6,
7/29/2015,16:47:06,7/29/2015 16:47:06,37.327,-97.49,0.8,km,1.1,
7/29/2015,20:32:17,7/29/2015 20:32:17,37.244,-97.611,4.6,km,1.5,
7/31/2015,4:28:32,7/31/2015 4:28:32,37.265,-97.521,2.8,km,1.6,
7/31/2015,7:35:06,7/31/2015 7:35:06,37.261,-97.519,3.7,km,1.8,
7/31/2015,14:03:53,7/31/2015 14:03:53,37.312,-97.468,4,km,1.6,
7/31/2015,15:05:52,7/31/2015 15:05:52,37.32,-97.48,3.3,km,1.3,
7/31/2015,15:07:42,7/31/2015 15:07:42,37.316,-97.476,3.5,km,1.1,
7/31/2015,15:13:18,7/31/2015 15:13:18,37.314,-97.47,4.1,km,1.6,
7/31/2015,15:16:33,7/31/2015 15:16:33,37.31,-97.466,4.3,km,1.4,
7/31/2015,15:18:57,7/31/2015 15:18:57,37.31,-97.465,4.2,km,1.6,
7/31/2015,15:32:43,7/31/2015 15:32:43,37.314,-97.474,3.8,km,1.3,
7/31/2015,15:42:35,7/31/2015 15:42:35,37.313,-97.472,4,km,1.3,
7/31/2015,16:09:30,7/31/2015 16:09:30,37.308,-97.47,3.7,km,1.1,
