20160124_92400_92730  37.313129  -97.418525  1.120000  1.754236
20160126_08_13  37.316727  -97.412230  1.120000  2.391308
20160126_21_51  37.287950  -97.447302  1.120000  3.007123
20160128_20_38  37.315827  -97.417626  1.120000  1.861221
20160131_19_11  37.296942  -97.450899  1.120000  2.335867
20160212_18_56  37.323921  -97.414029  1.120000  2.356628
20160223_16_07  37.296942  -97.423921  1.120000  2.516755
20160306_04_44  37.313129  -97.418525  1.120000  1.907032
20160307_05_43  37.316727  -97.412230  1.120000  2.444802
20160311_192445_192630  37.287050  -97.445504  1.120000  3.375418
20160317_18_37  37.312230  -97.418525  1.120000  1.871364
20160326_02_52  37.297842  -97.450899  1.120000  2.376395
20160328_03_47  37.302338  -97.456295  1.120000  2.040655
20160331_11_25  37.287050  -97.428417  1.120000  3.229788
20160331_18_37  37.287050  -97.445504  1.120000  3.190664
20160403_11_50  37.330216  -97.418525  1.120000  2.325119
20160403_222700_223700  37.295144  -97.424820  1.120000  2.722420
20160403_84345_84800  37.313129  -97.432914  1.120000  0.673975
20160411_04_05  37.314928  -97.417626  1.120000  1.889379
20160420_22_16  37.299640  -97.452698  1.120000  2.359596
20160504_03_54  37.295144  -97.424820  1.120000  2.850792
20160516_07_03  37.325719  -97.414928  1.120000  2.324428
20160531_22_15  37.314928  -97.417626  1.120000  1.828856
20160611_03_39  37.313129  -97.418525  1.120000  1.793091
20160613_10_20  37.325719  -97.414928  1.120000  2.277690
20160615_07_08  37.314928  -97.417626  1.120000  1.768505
20160615_17_40  37.296043  -97.423921  1.120000  2.523727
20160124_92400_92730  37.313129  -97.418525  1.120000  1.754236
20160126_08_13  37.316727  -97.412230  1.120000  2.391308
20160126_21_51  37.287950  -97.447302  1.120000  3.007123
20160128_20_38  37.315827  -97.417626  1.120000  1.861221
20160131_19_11  37.296942  -97.450899  1.120000  2.335867
20160212_18_56  37.323921  -97.414029  1.120000  2.356628
20160223_16_07  37.296942  -97.423921  1.120000  2.516755
20160306_04_44  37.313129  -97.418525  1.120000  1.907032
20160307_05_43  37.316727  -97.412230  1.120000  2.444802
20160311_192445_192630  37.287050  -97.445504  1.120000  3.375418
20160317_18_37  37.312230  -97.418525  1.120000  1.871364
20160326_02_52  37.297842  -97.450899  1.120000  2.376395
20160328_03_47  37.302338  -97.456295  1.120000  2.040655
20160331_11_25  37.287050  -97.428417  1.120000  3.229788
20160331_18_37  37.287050  -97.445504  1.120000  3.190664
20160403_11_50  37.330216  -97.418525  1.120000  2.325119
20160403_222700_223700  37.295144  -97.424820  1.120000  2.722420
20160403_84345_84800  37.313129  -97.432914  1.120000  0.673975
20160411_04_05  37.314928  -97.417626  1.120000  1.889379
20160420_22_16  37.299640  -97.452698  1.120000  2.359596
20160504_03_54  37.295144  -97.424820  1.120000  2.850792
20160516_07_03  37.325719  -97.414928  1.120000  2.324428
20160531_22_15  37.314928  -97.417626  1.120000  1.828856
20160611_03_39  37.313129  -97.418525  1.120000  1.793091
20160613_10_20  37.325719  -97.414928  1.120000  2.277690
20160615_07_08  37.314928  -97.417626  1.120000  1.768505
20160615_17_40  37.296043  -97.423921  1.120000  2.523727
20160615_17_40  37.296043  -97.423921  1.120000  2.523727
